method,method_label,train_times,metric,mean,std,count
baseline,Baseline,0,psnr,18.180888,3.513993,391
baseline,Baseline,0,ssim,0.636249,0.145361,391
baseline,Baseline,0,lpips,0.379896,0.096727,391
baseline,Baseline,4,psnr,22.065145,3.090050,387
baseline,Baseline,4,ssim,0.753489,0.090956,387
baseline,Baseline,4,lpips,0.290997,0.070102,387
baseline,Baseline,8,psnr,23.410633,2.769196,383
baseline,Baseline,8,ssim,0.785953,0.075558,383
baseline,Baseline,8,lpips,0.247855,0.062104,383
baseline,Baseline,12,psnr,23.949083,2.737390,379
baseline,Baseline,12,ssim,0.799873,0.070761,379
baseline,Baseline,12,lpips,0.225723,0.057459,379
baseline,Baseline,16,psnr,23.967296,2.911077,366
baseline,Baseline,16,ssim,0.800140,0.070714,366
baseline,Baseline,16,lpips,0.213132,0.055288,366
baseline,Baseline,20,psnr,24.417893,2.852291,357
baseline,Baseline,20,ssim,0.810964,0.067011,357
baseline,Baseline,20,lpips,0.201999,0.054953,357
baseline,Baseline,24,psnr,24.841149,2.767761,337
baseline,Baseline,24,ssim,0.817437,0.064830,337
baseline,Baseline,24,lpips,0.194367,0.052618,337
baseline,Baseline,28,psnr,25.179099,2.777373,323
baseline,Baseline,28,ssim,0.820638,0.064737,323
baseline,Baseline,28,lpips,0.188333,0.049755,323
baseline,Baseline,32,psnr,25.548559,2.755331,309
baseline,Baseline,32,ssim,0.825378,0.063660,309
baseline,Baseline,32,lpips,0.182750,0.047567,309
baseline,Baseline,36,psnr,25.777238,2.822892,296
baseline,Baseline,36,ssim,0.828304,0.063924,296
baseline,Baseline,36,lpips,0.177429,0.046377,296
baseline,Baseline,40,psnr,26.022915,2.872579,278
baseline,Baseline,40,ssim,0.833021,0.063815,278
baseline,Baseline,40,lpips,0.173144,0.045297,278
baseline,Baseline,44,psnr,26.194254,2.934436,269
baseline,Baseline,44,ssim,0.836249,0.064204,269
baseline,Baseline,44,lpips,0.169819,0.044238,269
baseline,Baseline,48,psnr,26.446412,2.999491,251
baseline,Baseline,48,ssim,0.841204,0.064255,251
baseline,Baseline,48,lpips,0.167173,0.043235,251
baseline,Baseline,52,psnr,26.718767,3.025944,236
baseline,Baseline,52,ssim,0.847086,0.062923,236
baseline,Baseline,52,lpips,0.163458,0.040499,236
baseline,Baseline,56,psnr,26.908048,3.005616,228
baseline,Baseline,56,ssim,0.849649,0.062057,228
baseline,Baseline,56,lpips,0.159812,0.037966,228
baseline,Baseline,60,psnr,27.067171,3.009050,221
baseline,Baseline,60,ssim,0.851401,0.063384,221
baseline,Baseline,60,lpips,0.156670,0.037696,221
baseline,Baseline,64,psnr,27.236257,3.084891,212
baseline,Baseline,64,ssim,0.852794,0.065026,212
baseline,Baseline,64,lpips,0.152837,0.036175,212
baseline,Baseline,68,psnr,27.343690,3.078004,197
baseline,Baseline,68,ssim,0.853786,0.065462,197
baseline,Baseline,68,lpips,0.148290,0.034362,197
baseline,Baseline,72,psnr,27.440117,3.006776,189
baseline,Baseline,72,ssim,0.855166,0.066655,189
baseline,Baseline,72,lpips,0.145016,0.033904,189
baseline,Baseline,76,psnr,27.334802,3.131811,182
baseline,Baseline,76,ssim,0.853513,0.067610,182
baseline,Baseline,76,lpips,0.143110,0.032767,182
baseline,Baseline,80,psnr,27.295103,3.172173,176
baseline,Baseline,80,ssim,0.853856,0.068054,176
baseline,Baseline,80,lpips,0.140742,0.032463,176
baseline,Baseline,84,psnr,27.217047,3.197125,169
baseline,Baseline,84,ssim,0.852175,0.069405,169
baseline,Baseline,84,lpips,0.139666,0.031974,169
baseline,Baseline,88,psnr,27.025136,3.152758,159
baseline,Baseline,88,ssim,0.850258,0.070821,159
baseline,Baseline,88,lpips,0.137609,0.031011,159
baseline,Baseline,92,psnr,26.898522,3.183168,151
baseline,Baseline,92,ssim,0.848145,0.072122,151
baseline,Baseline,92,lpips,0.136846,0.031443,151
baseline,Baseline,96,psnr,26.791516,3.172952,144
baseline,Baseline,96,ssim,0.845781,0.072233,144
baseline,Baseline,96,lpips,0.136613,0.031252,144
baseline,Baseline,100,psnr,26.597166,3.027978,137
baseline,Baseline,100,ssim,0.843031,0.071310,137
baseline,Baseline,100,lpips,0.136140,0.030900,137
baseline,Baseline,104,psnr,26.313368,2.846033,129
baseline,Baseline,104,ssim,0.837435,0.072079,129
baseline,Baseline,104,lpips,0.137156,0.031580,129
baseline,Baseline,108,psnr,26.411001,2.861809,122
baseline,Baseline,108,ssim,0.837251,0.072547,122
baseline,Baseline,108,lpips,0.136490,0.031855,122
baseline,Baseline,112,psnr,26.399666,2.836324,118
baseline,Baseline,112,ssim,0.837920,0.070951,118
baseline,Baseline,112,lpips,0.136034,0.031874,118
baseline,Baseline,116,psnr,26.371422,2.922925,113
baseline,Baseline,116,ssim,0.837947,0.071219,113
baseline,Baseline,116,lpips,0.134800,0.031901,113
baseline,Baseline,120,psnr,26.376624,2.921380,107
baseline,Baseline,120,ssim,0.838674,0.069780,107
baseline,Baseline,120,lpips,0.133781,0.030164,107
baseline,Baseline,124,psnr,26.378479,2.967610,104
baseline,Baseline,124,ssim,0.837228,0.070556,104
baseline,Baseline,124,lpips,0.133373,0.031050,104
baseline,Baseline,128,psnr,26.396715,3.017390,100
baseline,Baseline,128,ssim,0.836826,0.073974,100
baseline,Baseline,128,lpips,0.132765,0.030761,100
baseline,Baseline,132,psnr,26.415956,2.968647,94
baseline,Baseline,132,ssim,0.836787,0.075820,94
baseline,Baseline,132,lpips,0.130533,0.030829,94
baseline,Baseline,136,psnr,26.541482,3.001738,90
baseline,Baseline,136,ssim,0.839330,0.074406,90
baseline,Baseline,136,lpips,0.129977,0.031410,90
baseline,Baseline,140,psnr,26.597270,3.016865,83
baseline,Baseline,140,ssim,0.846134,0.069706,83
baseline,Baseline,140,lpips,0.126688,0.030395,83
baseline,Baseline,144,psnr,26.378177,3.103679,81
baseline,Baseline,144,ssim,0.845250,0.068777,81
baseline,Baseline,144,lpips,0.126765,0.029966,81
baseline,Baseline,148,psnr,26.492076,3.113960,79
baseline,Baseline,148,ssim,0.849226,0.067396,79
baseline,Baseline,148,lpips,0.125641,0.029886,79
baseline,Baseline,152,psnr,26.364772,3.171786,78
baseline,Baseline,152,ssim,0.849335,0.067377,78
baseline,Baseline,152,lpips,0.125065,0.029460,78
baseline,Baseline,156,psnr,26.211225,2.955941,73
baseline,Baseline,156,ssim,0.848949,0.069817,73
baseline,Baseline,156,lpips,0.123644,0.029662,73
baseline,Baseline,160,psnr,26.043301,2.793033,70
baseline,Baseline,160,ssim,0.848113,0.071467,70
