train_times,optimize_round,psnr,ssim,lpips
4,20,19.3856,0.623953,0.281791
8,24,21.1182,0.7729,0.160111
12,28,22.6253,0.818759,0.12929
16,32,22.4379,0.808585,0.127813
20,36,23.0444,0.828306,0.120048
24,40,22.6862,0.81816,0.132071
28,44,23.4667,0.839278,0.121137
32,48,23.3824,0.835061,0.124153
36,52,23.5736,0.83923,0.121166
40,56,23.8304,0.845279,0.119859
44,60,23.9501,0.843261,0.119163
48,64,23.8648,0.84444,0.119086
52,68,23.7922,0.842234,0.120221
56,72,24.2882,0.854043,0.115875
60,76,24.1732,0.852429,0.115702
64,80,24.2941,0.853214,0.114469
68,84,24.3306,0.850003,0.117074
72,88,24.2232,0.852973,0.112842
76,92,24.1315,0.850953,0.114562
80,96,24.1592,0.848679,0.118807
84,100,24.1739,0.849804,0.117895
88,104,24.1998,0.852728,0.119383
92,109,23.912,0.838102,0.126911
96,113,24.2566,0.84974,0.12416
100,117,24.4453,0.849683,0.121626
104,121,24.1321,0.845406,0.128086
108,127,23.322,0.834009,0.138467
112,132,22.6299,0.825157,0.145349
116,145,22.1062,0.810713,0.15034
120,150,22.9651,0.831694,0.141493
124,156,23.0966,0.83064,0.145771
128,162,23.4072,0.8388,0.13993
132,169,23.436,0.843165,0.137046
136,174,23.9255,0.851226,0.136196
140,181,24.0148,0.854866,0.135192
144,188,24.0396,0.853801,0.134384
148,193,24.1504,0.857026,0.133402
152,199,23.7215,0.851111,0.135079
156,214,23.4201,0.829257,0.14224
160,235,23.6211,0.836085,0.136532
164,241,24.0459,0.855203,0.129033
168,247,24.2608,0.857867,0.127731
172,257,24.1071,0.857027,0.126992
176,267,24.0832,0.852208,0.130374
180,290,23.939,0.83322,0.128663
184,303,24.1301,0.85244,0.125423
188,320,23.9549,0.841714,0.126389
192,327,24.5379,0.863567,0.120748
196,335,24.2712,0.857773,0.123973
200,363,23.6299,0.834459,0.138971
204,382,23.8071,0.843539,0.137421
