train_times,optimize_round,psnr,ssim,lpips
4,125,21.5656,0.803696,0.375961
8,129,23.1797,0.8317,0.253209
12,133,23.0085,0.84404,0.203606
16,137,23.3324,0.853515,0.162026
20,143,24.1182,0.861553,0.153471
24,149,24.054,0.864914,0.140355
28,154,24.4317,0.87634,0.129569
32,164,23.8098,0.866563,0.128085
36,170,24.2446,0.885812,0.116089
40,178,23.6606,0.876481,0.11396
44,185,24.0715,0.886329,0.107501
48,192,24.4854,0.892032,0.101665
52,198,25.8108,0.902997,0.107613
56,205,25.8925,0.899073,0.105008
60,212,26.0057,0.905665,0.100635
64,220,25.9397,0.901062,0.104185
68,225,26.2994,0.906043,0.0962676
72,237,26.2403,0.901201,0.104924
76,244,27.0091,0.913794,0.0965016
80,261,26.3316,0.895535,0.0972154
84,272,26.6906,0.903814,0.0902057
88,282,26.7327,0.911589,0.0845078
92,299,25.6812,0.888464,0.100248
96,310,26.5165,0.901552,0.0930132
100,326,26.251,0.896038,0.0986095
104,342,27.1123,0.906466,0.0932795
108,369,26.9676,0.895472,0.106022
112,389,26.4841,0.885452,0.108709
